Date,Time,Symbol,Close,Volume
8/10/2015,2:00:00 AM,BTCUSD,243.95,5.708259431
8/10/2015,1:00:00 AM,BTCUSD,243.95,4.71303031
8/10/2015,12:00:00 PM,BTCUSD,243.95,0.04132231
8/10/2015,11:00:00 PM,BTCUSD,244,0.17704918
8/10/2015,10:00:00 PM,BTCUSD,244,1.531455679
8/10/2015,9:00:00 PM,BTCUSD,244,3.69047209
8/10/2015,8:00:00 PM,BTCUSD,244.99,3.920632003
8/10/2015,7:00:00 PM,BTCUSD,244.25,3.89525246
8/10/2015,6:00:00 PM,BTCUSD,244.92,3.016925828
8/10/2015,5:00:00 PM,BTCUSD,245,4.453648931
8/10/2015,4:00:00 PM,BTCUSD,245,0.60665438
9/10/2015,2:00:00 AM,BTCUSD,245.39,0.0008
9/10/2015,1:00:00 AM,BTCUSD,245.39,0
9/10/2015,12:00:00 PM,BTCUSD,245.39,4.531416175
9/10/2015,11:00:00 PM,BTCUSD,249.97,35.68791657
9/10/2015,10:00:00 PM,BTCUSD,244.06,3.43344122
9/10/2015,9:00:00 PM,BTCUSD,243.7,0
9/10/2015,8:00:00 PM,BTCUSD,243.7,0.229184
9/10/2015,7:00:00 PM,BTCUSD,244,0
9/10/2015,6:00:00 PM,BTCUSD,244,0
9/10/2015,5:00:00 PM,BTCUSD,244,4.17182852
9/10/2015,4:00:00 PM,BTCUSD,244,3.973254282
9/10/2015,3:00:00 PM,BTCUSD,243.63,0
9/10/2015,2:00:00 PM,BTCUSD,243.63,1
9/10/2015,1:00:00 PM,BTCUSD,243.6,0
9/10/2015,12:00:00 PM,BTCUSD,243.6,0
9/10/2015,11:00:00 AM,BTCUSD,243.6,0
9/10/2015,10:00:00 AM,BTCUSD,243.6,0
9/10/2015,9:00:00 AM,BTCUSD,243.6,0
9/10/2015,8:00:00 AM,BTCUSD,243.6,0
9/10/2015,7:00:00 AM,BTCUSD,243.6,0
9/10/2015,6:00:00 AM,BTCUSD,243.6,0
9/10/2015,5:00:00 AM,BTCUSD,243.6,0
9/10/2015,4:00:00 AM,BTCUSD,243.6,0
9/10/2015,3:00:00 AM,BTCUSD,243.6,3
10/10/2015,2:00:00 AM,BTCUSD,246.3,4.41
10/10/2015,1:00:00 AM,BTCUSD,245.75,0
10/10/2015,12:00:00 PM,BTCUSD,245.75,0.07252265
10/10/2015,11:00:00 PM,BTCUSD,245.37,0
10/10/2015,10:00:00 PM,BTCUSD,245.37,0
10/10/2015,9:00:00 PM,BTCUSD,245.37,0
10/10/2015,8:00:00 PM,BTCUSD,245.37,0
10/10/2015,7:00:00 PM,BTCUSD,245.37,0.41265196
10/10/2015,6:00:00 PM,BTCUSD,245.37,6.23239377
10/10/2015,5:00:00 PM,BTCUSD,245.18,0
10/10/2015,4:00:00 PM,BTCUSD,245.18,0.997506234
10/10/2015,3:00:00 PM,BTCUSD,244.6,0
10/10/2015,2:00:00 PM,BTCUSD,244.6,2.69
10/10/2015,1:00:00 PM,BTCUSD,245.45,0
10/10/2015,12:00:00 PM,BTCUSD,245.45,0
10/10/2015,11:00:00 AM,BTCUSD,245.45,0
10/10/2015,10:00:00 AM,BTCUSD,245.45,0
10/10/2015,9:00:00 AM,BTCUSD,245.45,0
10/10/2015,8:00:00 AM,BTCUSD,245.45,0
10/10/2015,7:00:00 AM,BTCUSD,245.45,15.97447591
10/10/2015,6:00:00 AM,BTCUSD,245.51,0
10/10/2015,5:00:00 AM,BTCUSD,245.51,0.44
10/10/2015,4:00:00 AM,BTCUSD,245.54,8.119226772
10/10/2015,3:00:00 AM,BTCUSD,245.39,0
11/10/2015,2:00:00 AM,BTCUSD,249.5,0.402811833
11/10/2015,1:00:00 AM,BTCUSD,248.24,2.843825279
11/10/2015,12:00:00 PM,BTCUSD,247.77,0.5953185
11/10/2015,11:00:00 PM,BTCUSD,248.24,0
11/10/2015,10:00:00 PM,BTCUSD,248.24,0.24165162
11/10/2015,9:00:00 PM,BTCUSD,248.24,0.401831387
11/10/2015,8:00:00 PM,BTCUSD,248.24,2.597561964
11/10/2015,7:00:00 PM,BTCUSD,246.5,7.32378358
11/10/2015,6:00:00 PM,BTCUSD,246.3,0
11/10/2015,5:00:00 PM,BTCUSD,246.3,0
11/10/2015,4:00:00 PM,BTCUSD,246.3,0
11/10/2015,3:00:00 PM,BTCUSD,246.3,0
11/10/2015,2:00:00 PM,BTCUSD,246.3,0
11/10/2015,1:00:00 PM,BTCUSD,246.3,0
11/10/2015,12:00:00 PM,BTCUSD,246.3,0
11/10/2015,11:00:00 AM,BTCUSD,246.3,0
11/10/2015,10:00:00 AM,BTCUSD,246.3,0
11/10/2015,9:00:00 AM,BTCUSD,246.3,0
11/10/2015,8:00:00 AM,BTCUSD,246.3,0
11/10/2015,7:00:00 AM,BTCUSD,246.3,0
11/10/2015,6:00:00 AM,BTCUSD,246.3,0
11/10/2015,5:00:00 AM,BTCUSD,246.3,0.08099878
11/10/2015,4:00:00 AM,BTCUSD,246.3,0
